PREC	JANT	JULT	OVR65	POPN	EDUC	HOUS	DENS	NONW	WWDRK	POOR	HC	NOX	SO2	HUMID	target
36.0	27.0	71.0	8.100000381469727	3.3399999141693115	11.399999618530273	81.5	3243.0	8.800000190734863	42.599998474121094	11.699999809265137	21.0	15.0	59.0	59.0	921.8699951171875
35.0	23.0	72.0	11.100000381469727	3.140000104904175	11.0	78.80000305175781	4281.0	3.5	50.70000076293945	14.399999618530273	8.0	10.0	39.0	57.0	997.875
44.0	29.0	74.0	10.399999618530273	3.2100000381469727	9.800000190734863	81.5999984741211	4260.0	0.800000011920929	39.400001525878906	12.399999618530273	6.0	6.0	33.0	54.0	962.35400390625
47.0	45.0	79.0	6.5	3.4100000858306885	11.100000381469727	77.5	3125.0	27.100000381469727	50.20000076293945	20.600000381469727	18.0	8.0	24.0	56.0	982.291015625
43.0	35.0	77.0	7.599999904632568	3.440000057220459	9.600000381469727	84.5999984741211	6441.0	24.399999618530273	43.70000076293945	14.300000190734863	43.0	38.0	206.0	55.0	1071.2889404296875
53.0	45.0	80.0	7.699999809265137	3.450000047683716	10.199999809265137	66.80000305175781	3325.0	38.5	43.099998474121094	25.5	30.0	32.0	72.0	54.0	1030.3800048828125
43.0	30.0	74.0	10.899999618530273	3.2300000190734863	12.100000381469727	83.9000015258789	4679.0	3.5	49.20000076293945	11.300000190734863	21.0	32.0	62.0	56.0	934.7000122070312
45.0	30.0	73.0	9.300000190734863	3.2899999618530273	10.600000381469727	86.0	2140.0	5.300000190734863	40.400001525878906	10.5	6.0	4.0	4.0	56.0	899.5289916992188
36.0	24.0	70.0	9.0	3.309999942779541	10.5	83.19999694824219	6582.0	8.100000381469727	42.5	12.600000381469727	18.0	12.0	37.0	61.0	1001.9019775390625
36.0	27.0	72.0	9.5	3.359999895095825	10.699999809265137	79.30000305175781	4213.0	6.699999809265137	41.0	13.199999809265137	12.0	7.0	20.0	59.0	912.3469848632812
52.0	42.0	79.0	7.699999809265137	3.390000104904175	9.600000381469727	69.19999694824219	2302.0	22.200000762939453	41.29999923706055	24.200000762939453	18.0	8.0	27.0	56.0	1017.6129760742188
